player,runs,bb_bf_batting,4s_batting,6s_batting,sr_batting,not_out,mins_batting,wkts,bb_bf_bowling,mdns,econ,4s_bowling,6s_bowling,sr_bowling,mins_bowling,total_runs
Mohammad Wasim (1) (PAK),23.0,23.0,2.0,2.0,96.025,1.0,23.0,10.0,229.0,2.0,5.5475,0.0,0.0,,,33.0
Noor Ahmad (AFG),26.0,32.0,4.0,0.0,81.25,0.0,36.0,5.0,228.0,1.0,4.7700000000000005,0.0,0.0,,,31.0
MJ Henry (NZ),19.0,13.0,1.0,1.0,120.83333333333333,1.0,7.0,11.0,326.0,3.0,5.83,0.0,0.0,,,30.0
Hasan Ali (PAK),20.0,28.0,4.0,0.0,54.38333333333333,0.0,10.0,9.0,306.0,2.0,6.198333333333333,0.0,0.0,,,29.0
Mohammed Shami (IND),4.0,10.0,0.0,0.0,56.666666666666664,1.0,5.666666666666667,23.0,251.0,3.0,4.876666666666667,0.0,0.0,,,27.0
RJW Topley (ENG),16.0,9.0,3.0,0.0,132.14,2.0,5.0,8.0,166.0,2.0,6.713333333333334,0.0,0.0,,,24.0
Kuldeep Yadav (IND),9.0,13.0,1.0,0.0,69.23,1.0,18.0,15.0,511.0,2.0,3.925,0.0,0.0,,,24.0
Naveen-ul-Haq (AFG),16.0,25.0,2.0,0.0,49.166,1.0,7.6,8.0,322.0,1.0,6.608750000000001,0.0,0.0,,,24.0
TG Southee (NZ),16.0,21.0,2.0,0.0,76.815,0.0,12.5,7.0,198.0,0.0,7.4,0.0,0.0,,,23.0
L Ngidi (SA),11.0,41.0,0.0,0.0,19.243333333333336,1.0,22.0,10.0,363.0,6.0,5.76125,0.0,0.0,,,21.0
T Shamsi (SA),9.0,15.0,1.0,0.0,62.22,3.0,9.333333333333334,9.0,227.0,0.0,5.5625,0.0,0.0,,,18.0
JR Hazlewood (AUS),4.0,5.0,0.0,0.0,75.0,2.0,2.25,14.0,499.0,8.0,4.616,0.0,0.0,,,18.0
Hasan Mahmud (BAN),15.0,25.0,2.0,0.0,60.0,0.0,32.0,3.0,84.0,0.0,9.64,0.0,0.0,,,18.0
