,player,ground,runs,wkts
316,JR Hazlewood (AUS),Pune,21,0.0
317,JR Hazlewood (AUS),Wankhede,39,2.0
318,K Rabada (SA),Ahmedabad,40,0.0
319,K Rabada (SA),Delhi,50,2.0
320,K Rabada (SA),Dharamsala,65,2.0
321,K Rabada (SA),Eden Gardens,105,2.0
322,K Rabada (SA),Lucknow,33,3.0
323,K Rabada (SA),Pune,16,1.0
324,K Rabada (SA),Wankhede,80,3.0
325,KA Maharaj (SA),Ahmedabad,25,2.0
326,KA Maharaj (SA),Chennai,63,0.0
327,KA Maharaj (SA),Delhi,62,2.0
328,KA Maharaj (SA),Dharamsala,78,1.0
329,KA Maharaj (SA),Eden Gardens,65,2.0
330,KA Maharaj (SA),Lucknow,30,2.0
331,KA Maharaj (SA),Pune,46,4.0
332,KA Maharaj (SA),Wankhede,60,2.0
333,KIC Asalanka (SL),Bengaluru,8,0.0
334,KIC Asalanka (SL),Delhi,187,0.0
335,KIC Asalanka (SL),Hyderabad,11,0.0
336,KIC Asalanka (SL),Lucknow,69,0.0
337,KIC Asalanka (SL),Pune,22,0.0
338,KIC Asalanka (SL),Wankhede,1,0.0
339,KL Rahul (IND),Ahmedabad,19,0.0
340,KL Rahul (IND),Bengaluru,102,0.0
341,KL Rahul (IND),Chennai,97,0.0
342,KL Rahul (IND),Dharamsala,27,0.0
343,KL Rahul (IND),Eden Gardens,8,0.0
344,KL Rahul (IND),Lucknow,39,0.0
345,KL Rahul (IND),Pune,34,0.0
346,KL Rahul (IND),Wankhede,60,0.0
347,KS Williamson (NZ),Bengaluru,109,0.0
348,KS Williamson (NZ),Chennai,78,0.0
349,KS Williamson (NZ),Wankhede,69,0.0
350,Kuldeep Yadav (IND),Ahmedabad,35,2.0
351,Kuldeep Yadav (IND),Bengaluru,41,2.0
352,Kuldeep Yadav (IND),Chennai,42,2.0
353,Kuldeep Yadav (IND),Delhi,40,1.0
354,Kuldeep Yadav (IND),Dharamsala,73,2.0
355,Kuldeep Yadav (IND),Eden Gardens,7,2.0
356,Kuldeep Yadav (IND),Lucknow,33,2.0
357,Kuldeep Yadav (IND),Pune,47,1.0
358,Kuldeep Yadav (IND),Wankhede,59,1.0
359,L Ngidi (SA),Ahmedabad,69,2.0
360,L Ngidi (SA),Chennai,49,1.0
361,L Ngidi (SA),Delhi,49,1.0
362,L Ngidi (SA),Dharamsala,64,2.0
363,L Ngidi (SA),Eden Gardens,63,1.0
364,L Ngidi (SA),Lucknow,18,1.0
365,L Ngidi (SA),Pune,28,0.0
366,L Ngidi (SA),Wankhede,26,2.0
367,LB Williams (SA),Wankhede,56,2.0
368,LH Ferguson (NZ),Bengaluru,35,2.0
369,LH Ferguson (NZ),Chennai,68,6.0
370,LH Ferguson (NZ),Dharamsala,102,2.0
371,LH Ferguson (NZ),Hyderabad,32,0.0
372,LH Ferguson (NZ),Wankhede,71,0.0
373,LS Livingstone (ENG),Ahmedabad,88,1.0
374,LS Livingstone (ENG),Bengaluru,18,0.0
